basis,source_doc,source_page,source_url,statement,period_label,period_end,period_type,section,line_item,value,unit,is_subtotal,is_comparative,order_index,note
business_100,4064735,20,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=20,note_ppe,FY2025,2024-04-01,instant,Cushion gas,"Balance, April 1, 2024",165.6,usd_millions,1,1,1,block=cost
business_100,4064735,20,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=20,note_ppe,FY2025,2024-04-01,instant,Pipelines and interconnects,"Balance, April 1, 2024",151.6,usd_millions,1,1,2,block=cost
business_100,4064735,20,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=20,note_ppe,FY2025,2024-04-01,instant,Wells,"Balance, April 1, 2024",299.9,usd_millions,1,1,3,block=cost
business_100,4064735,20,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=20,note_ppe,FY2025,2024-04-01,instant,Land and storage formations,"Balance, April 1, 2024",101.4,usd_millions,1,1,4,block=cost
business_100,4064735,20,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=20,note_ppe,FY2025,2024-04-01,instant,Facilities and other,"Balance, April 1, 2024",413.6,usd_millions,1,1,5,block=cost
business_100,4064735,20,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=20,note_ppe,FY2025,2024-04-01,instant,Total,"Balance, April 1, 2024",1132.1,usd_millions,1,1,6,block=cost
business_100,4064735,20,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=20,note_ppe,FY2025,2025-03-31,FY,Cushion gas,Additions,8.0,usd_millions,0,1,7,block=cost
business_100,4064735,20,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=20,note_ppe,FY2025,2025-03-31,FY,Pipelines and interconnects,Additions,1.3,usd_millions,0,1,8,block=cost
business_100,4064735,20,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=20,note_ppe,FY2025,2025-03-31,FY,Wells,Additions,25.3,usd_millions,0,1,9,block=cost
business_100,4064735,20,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=20,note_ppe,FY2025,2025-03-31,FY,Land and storage formations,Additions,0.0,usd_millions,0,1,10,block=cost; printed_dash_zero
